,files,make,model,year,id
49616,Chevrolet_Malibu_2016_27_17_120_18_4_73_57_193_47_FWD_5_4_4dr_AAD.jpg,Chevrolet,Malibu,2016,AAD.jpg
693,Porsche_Taycan_2020_103_19_520_nan_nan_77_54_195_nan_AWD_4_4_4dr_AAE.jpg,Porsche,Taycan,2020,AAE.jpg
18849,Land Rover_Range Rover_2013_82_19_370_50_8_78_72_196_14_4WD_5_4_SUV_AAF.jpg,Land Rover,Range Rover,2013,AAF.jpg
22209,BMW_6-Series_2016_87_18_310_30_6_74_53_192_20_AWD_4_2_Convertible_AAG.jpg,BMW,6-Series,2016,AAG.jpg
52421,Toyota_Sequoia_2015_56_20_380_57_8_79_77_205_13_4WD_8_4_SUV_AAH.jpg,Toyota,Sequoia,2015,AAH.jpg
22780,MINI_Cooper_2014_25_16_120_16_4_66_55_146_28_FWD_4_2_Convertible_AAL.jpg,MINI,Cooper,2014,AAL.jpg
53470,INFINITI_QX50_2020_55_20_260_20_4_74_66_184_22_AWD_5_4_SUV_AAR.jpg,INFINITI,QX50,2020,AAR.jpg
20600,Volkswagen_Golf_2016_19_15_170_18_4_70_57_167_nan_FWD_5_2_2dr_AAX.jpg,Volkswagen,Golf,2016,AAX.jpg
46352,Chevrolet_Silverado 1500_2016_37_20_280_43_6_80_74_nan_18_RWD_6_4_Pickup_AAY.jpg,Chevrolet,Silverado 1500,2016,AAY.jpg
8268,Kia_Optima_2014_23_17_190_24_4_72_57_190_23_FWD_5_4_4dr_AAb.jpg,Kia,Optima,2014,AAb.jpg
9799,Nissan_Versa_2020_16_15_120_16_4_68_57_177_32_FWD_5_4_4dr_AAh.jpg,Nissan,Versa,2020,AAh.jpg
63858,Mercedes-Benz_S Class_2019_180_20_600_40_8_75_56_198_15_AWD_4_2_Convertible_AAl.jpg,Mercedes-Benz,S Class,2019,AAl.jpg
9413,smart_fortwo_2011_17_15_700_10_3_61_60_106_33_RWD_2_2_Convertible_AAm.jpg,smart,fortwo,2011,AAm.jpg
12603,Lexus_IS_2015_39_17_200_25_6_71_56_183_20_AWD_5_4_4dr_AAm.jpg,Lexus,IS,2015,AAm.jpg
45518,Lincoln_Nautilus_2019_59_21_240_20_4_76_66_190_20_AWD_5_4_SUV_AAp.jpg,Lincoln,Nautilus,2019,AAp.jpg
62383,Toyota_Camry_2017_26_16_200_25_4_71_57_190_42_FWD_5_4_4dr_AAt.jpg,Toyota,Camry,2017,AAt.jpg
25150,Nissan_GT-R_2012_95_20_530_38_6_74_53_183_16_AWD_4_2_2dr_AAt.jpg,Nissan,GT-R,2012,AAt.jpg
29232,Ford_Fiesta_2013_13_15_120_16_4_67_58_173_29_FWD_5_4_4dr_AAu.jpg,Ford,Fiesta,2013,AAu.jpg
57341,Acura_RLX_2014_48_18_310_35_6_74_57_196_20_FWD_5_4_4dr_AAw.jpg,Acura,RLX,2014,AAw.jpg
12770,Chevrolet_Traverse_2016_33_17_280_36_6_78_69_203_15_AWD_8_4_SUV_AAx.jpg,Chevrolet,Traverse,2016,AAx.jpg
30217,Honda_Ridgeline_2010_28_17_250_35_6_77_70_207_15_4WD_5_4_Pickup_AAz.jpg,Honda,Ridgeline,2010,AAz.jpg
16429,Mercedes-Benz_CLA Class_2016_49_18_370_20_4_70_55_184_23_AWD_5_4_4dr_ABA.jpg,Mercedes-Benz,CLA Class,2016,ABA.jpg
36688,Nissan_Sentra_2014_17_16_130_18_4_69_58_182_30_FWD_5_4_4dr_ABD.jpg,Nissan,Sentra,2014,ABD.jpg
