,cd_id,si_0,si_1,si_2,si_3,si_4,si_5,si_6,si_7,si_8,si_9
0,822,823,2133,978,979,977,824,866,439,864,865
1,823,822,978,2133,979,977,824,866,439,864,2092
2,824,978,823,979,822,2092,977,2133,439,866,842
3,1065,1066,2005,383,1067,1698,1697,1069,1724,1700,1987
4,1066,1698,1065,1697,1069,1700,1703,1702,1987,1699,2005
5,1067,1724,1065,2004,383,2005,1230,1701,1070,1987,1066
6,1068,1699,1069,1700,1702,1697,1066,1703,1698,865,2005
7,1069,1700,1702,1066,1697,1699,1068,1703,1698,1065,2005
8,1070,1987,1724,1067,1065,1701,1697,1703,2005,1702,1698
9,1230,2004,1724,1701,1067,2005,1065,1070,383,1723,1987
10,1697,1703,1702,1066,1698,1069,1699,1987,1065,1700,1068
11,1698,1066,1697,1987,1702,1065,1069,1703,1699,1700,1067
12,1699,1703,1069,1702,1068,1697,1700,1066,1698,1987,1065
13,1700,1069,1699,2005,1066,1068,1702,1697,1703,1065,1698
14,1701,2004,1724,1230,1067,1070,1987,1065,383,1698,1723
15,1702,1697,1069,1703,1699,1987,1698,1066,1700,1068,1065
16,1703,1697,1699,1702,1069,1066,1698,1987,1700,1065,1068
17,1723,1230,2004,1701,1724,1067,1070,1065,383,2005,1987
18,1724,1067,1701,2004,1230,1065,1070,1987,2005,1698,383
19,1987,1697,1698,1070,1702,1703,1066,1069,1724,1065,1067
20,2004,1230,1701,1067,1724,1070,1065,2005,383,1987,1723
21,2005,1065,1700,1066,1069,383,1067,1724,1697,1703,1070
22,2133,822,977,823,978,979,866,824,864,1743,439
23,2092,824,978,979,823,1724,822,977,1230,2004,439
24,977,978,979,2133,822,823,824,866,1743,864,2092
25,978,979,823,977,2133,822,824,866,2092,864,439
26,979,978,977,823,2133,822,824,866,2092,1743,864
27,1743,977,2133,979,1745,847,978,1744,1692,874,822
28,1744,1745,1743,1692,874,979,761,207,294,822,977
29,1745,1744,1743,1692,874,979,977,1693,1695,847,2133
30,1771,755,1773,1772,758,754,520,337,447,473,710
31,1772,1773,1771,758,755,754,476,477,520,431,130
32,1773,1772,758,1771,755,754,476,477,520,431,337
33,2093,2120,758,207,294,862,375,755,754,1773,1255
34,2120,2093,862,758,207,294,754,755,1773,1772,375
35,862,2120,759,802,756,2093,754,2574,207,2572,2573
36,754,1773,1772,755,758,1771,1792,854,431,130,379
37,755,1771,1773,758,1772,754,520,431,447,337,1332
38,756,802,759,757,134,15,754,862,627,290,755
39,757,756,802,759,803,62,134,15,627,478,286
40,758,1773,755,1772,1771,754,520,1332,2093,2120,431
41,759,802,756,757,862,15,134,754,286,627,528
42,760,102,805,10,2762,510,287,804,261,82,2709
43,761,762,1275,763,2513,2508,2519,1094,1744,2565,2568
44,762,763,236,761,10,81,2515,107,109,1765,2437
45,763,762,236,109,81,107,232,10,237,80,235
46,764,793,1241,794,798,1240,1238,796,1239,875,797
47,765,1541,876,793,796,1241,798,1240,764,878,794
48,793,798,764,794,1240,1241,1238,797,796,765,1239
49,794,793,764,798,797,1240,795,1241,875,1239,1238
50,795,797,794,1240,798,1239,793,1238,1241,764,1540
51,796,1241,764,793,765,794,875,798,1240,878,1243
52,797,795,794,1240,798,1239,793,764,1238,1241,1540
53,798,793,794,764,1240,797,1238,1241,795,1239,1540
54,799,795,797,1243,1239,800,794,1240,0,3,1242
55,800,878,1243,799,2128,1541,765,794,795,875,797
56,801,763,2048,1992,1678,1212,762,81,236,8,237
57,802,759,756,757,134,15,754,862,1772,528,286
58,803,1772,1773,754,758,755,1771,1245,757,1337,476
59,804,805,1333,126,604,806,422,329,520,330,703
60,805,804,1333,422,806,703,329,604,760,520,1995
61,806,604,1333,329,804,204,805,664,542,817,1178
62,845,2282,2362,1598,126,604,2284,806,1695,2876,804
63,846,1925,2142,9,1599,640,1696,1777,329,2470,1643
64,847,43,1693,44,1692,1743,874,207,45,855,848
65,848,44,855,43,45,854,858,74,859,871,333
66,854,45,44,43,130,858,848,855,42,74,289
67,855,43,848,44,45,854,858,195,859,79,871
68,856,857,860,43,150,848,855,858,44,331,12
69,857,856,860,43,150,848,855,44,858,331,12
70,858,130,42,854,43,855,45,196,533,44,79
71,859,855,848,43,44,45,854,870,858,195,860
72,860,857,856,43,855,44,859,848,45,190,858
73,861,863,1070,1987,1701,1724,1697,1698,1703,1702,1067
74,863,1703,1697,1987,1070,1698,861,1724,868,1065,1702
75,864,866,822,2133,823,978,977,979,824,439,1743
76,865,867,1699,1068,1702,868,1703,377,1697,1069,1700
77,866,864,2133,822,977,823,978,979,824,439,1743
78,867,865,868,377,429,1699,1068,1702,1703,1697,378
79,868,377,865,1703,863,1699,429,378,1697,867,1702
80,869,381,332,340,338,871,335,333,339,870,334
81,870,871,333,335,381,340,212,338,332,869,259
82,871,333,381,340,332,869,339,338,212,379,870
83,872,873,486,405,794,1766,1103,408,764,797,798
84,873,872,405,486,408,572,407,406,404,793,764
85,874,1692,1693,795,1239,2558,1540,2143,1238,847,1240
86,875,794,1241,764,1242,796,1240,1243,797,793,795
87,876,1541,765,796,2128,793,878,1539,798,1241,764
88,877,796,876,765,878,1541,879,654,1241,2095,473
89,878,2128,1243,765,800,796,1241,1541,793,876,764
90,879,1539,796,765,1241,877,764,793,876,1541,878
91,1238,1239,1240,764,1241,798,793,2,1242,794,797
92,1239,1238,1240,797,795,798,1242,2,794,764,1241
