,cd_id,si_0,si_1,si_2,si_3,si_4,si_5,si_6,si_7,si_8,si_9
822,822,1481,768,766,2059,1644,1516,749,1929,1252,1529
823,823,1728,2068,2124,1818,1504,1809,774,911,1428,1103
824,824,1423,1832,1870,1403,1083,1394,1442,1445,778,1102
1065,1065,1563,834,1030,1417,1627,1963,1686,1057,1825,2005
1066,1066,773,1883,1868,743,1322,1190,1035,1187,1676,783
1067,1067,1290,2110,1130,2148,1714,1663,2081,1263,1796,1952
1068,1068,1221,1231,1295,890,1353,1751,1480,1973,1372,1866
1069,1069,936,1143,842,830,740,1101,1125,1700,742,1033
1070,1070,1871,1475,1851,789,1273,1369,744,1595,1869,1936
1230,1230,1249,2051,1597,1027,908,926,2036,2004,1853,2077
1697,1697,2159,1458,1835,1521,1788,1477,1424,1319,1533,913
1698,1698,1441,1056,1710,1039,1921,2111,2147,745,995,1413
1699,1699,2163,1089,1063,779,1296,1203,1843,1926,1078,1789
1700,1700,2105,936,1356,740,1069,1616,2033,1143,842,903
1701,1701,876,1194,1121,1080,1779,1545,2025,988,1685,943
1702,1702,1420,772,1395,793,759,784,1311,941,1012,1275
1703,1703,1299,1396,1359,1397,1753,1076,1311,764,1033,759
1723,1723,2004,1853,1559,2077,1555,951,926,2052,2024,930
1724,1724,1677,1717,1903,1055,755,2167,1944,1192,1539,1081
1987,1987,1325,833,1580,1177,2093,1309,761,1560,954,760
2004,2004,1853,1723,1559,2077,930,2024,926,2052,1230,951
2005,2005,2020,1825,945,1923,1627,1065,1686,987,2029,834
2133,2133,2069,1643,2013,1639,1201,2028,869,1568,1095,1265
2092,2092,1586,1086,1365,1422,835,2156,1022,1121,1080,1826
977,977,1242,1507,816,1469,1162,1411,1759,1174,1726,2002
978,978,1419,1492,1418,1450,1456,806,1489,1972,1416,1973
979,979,1497,806,1518,1362,853,1489,1363,1862,1416,1418
1743,1743,946,1529,2088,749,855,1516,822,1481,1429,1885
1744,1744,1436,859,1097,1235,1172,1154,1324,1574,860,2054
1745,1745,2117,947,1430,1205,821,1811,1910,1679,1642,998
1771,1771,1495,1572,792,1952,2081,1130,1769,994,1796,1714
1772,1772,1784,760,1560,1124,1332,2093,761,1309,1364,1605
1773,1773,2131,1196,894,1484,1298,878,796,1150,800,1602
2093,2093,761,1325,1560,1309,1177,760,1987,833,1784,1772
2120,2120,1090,2058,763,1610,1191,804,863,1079,1300,967
862,862,1053,1791,1508,1137,782,1461,781,1715,1997,1781
754,754,1802,1517,793,1947,858,941,784,1359,1763,759
755,755,1677,1931,1724,1717,2087,1944,1055,2167,1539,1903
756,756,1358,1321,1738,1582,1607,2096,1964,1301,1243,843
757,757,798,1144,1882,1145,1171,1994,1474,1884,1519,2027
758,758,1778,1978,1963,1417,1995,1557,1563,1065,834,1762
759,759,784,793,1311,1299,1359,1702,772,1420,941,1397
760,760,1560,1784,1772,761,2093,1309,1325,1177,1949,1987
