,year_x,make,model,search,image_location
0,2022,kia,k5,kia_k5_2022,
1,2021,kia,k5,kia_k5_2021,
2,2023,kia,k5,kia_k5_2023,
3,2020,mercedes-benz,cls,mercedes-benz_cls_2020,
4,2018,mercedes-benz,cla,mercedes-benz_cla_2018,
5,2021,mercedes-benz,cla,mercedes-benz_cla_2021,
6,2022,polestar,2,polestar_2_2022,
7,2018,audi,s6,audi_s6_2018,
8,2016,chrysler,200,chrysler_200_2016,
9,2015,infiniti,q40,infiniti_q40_2015,
10,2015,mercedes-benz,cls,mercedes-benz_cls_2015,
11,2015,dodge,dart,dodge_dart_2015,
12,2023,acura,integra,acura_integra_2023,
13,2015,audi,s8,audi_s8_2015,
14,2012,acura,tl,acura_tl_2012,
15,2015,chrysler,200,chrysler_200_2015,
16,2018,audi,s4,audi_s4_2018,
17,2020,mercedes-benz,cla,mercedes-benz_cla_2020,
18,2022,toyota,venza,toyota_venza_2022,
19,2022,genesis,gv70,genesis_gv70_2022,
20,2022,volkswagen,taos,volkswagen_taos_2022,
21,2023,toyota,corolla cross,toyota_corolla cross_2023,
22,2023,ford,bronco,ford_bronco_2023,
23,2017,mercedes-benz,glc,mercedes-benz_glc_2017,
24,2022,ford,bronco,ford_bronco_2022,
25,2021,jeep,grand cherokee l,jeep_grand cherokee l_2021,
26,2021,toyota,venza,toyota_venza_2021,
27,2021,ford,bronco,ford_bronco_2021,
28,2023,ford,bronco sport,ford_bronco sport_2023,
29,2016,mercedes-benz,gl class,mercedes-benz_gl class_2016,
30,2023,genesis,gv80,genesis_gv80_2023,
31,2021,volkswagen,id 4,volkswagen_id 4_2021,
32,2022,kia,niro ev,kia_niro ev_2022,
33,2018,mercedes-benz,gle,mercedes-benz_gle_2018,
34,2022,chevrolet,bolt euv,chevrolet_bolt euv_2022,
35,2021,audi,sq7,audi_sq7_2021,
36,2018,mercedes-benz,glc,mercedes-benz_glc_2018,
37,2016,mercedes-benz,glc,mercedes-benz_glc_2016,
38,2020,land,rover range rover velar,land_rover range rover velar_2020,
39,2020,ford,expedition max,ford_expedition max_2020,
40,2018,gmc,yukon xl,gmc_yukon xl_2018,
41,2020,mercedes-benz,gle,mercedes-benz_gle_2020,
42,2022,ford,expedition max,ford_expedition max_2022,
43,2018,hyundai,santa fe sport,hyundai_santa fe sport_2018,
44,2015,cadillac,srx,cadillac_srx_2015,
45,2019,mercedes-benz,gle,mercedes-benz_gle_2019,
46,2018,land,rover discovery sport,land_rover discovery sport_2018,
47,2017,mercedes-benz,gle,mercedes-benz_gle_2017,
48,2019,mercedes-benz,glc,mercedes-benz_glc_2019,
49,2022,hyundai,kona n,hyundai_kona n_2022,
50,2021,kia,seltos,kia_seltos_2021,
51,2021,lincoln,navigator l,lincoln_navigator l_2021,
52,2021,mercedes-benz,gle,mercedes-benz_gle_2021,
53,2023,hyundai,kona n,hyundai_kona n_2023,
